CustomerID,LookalikeID,SimilarityScore
C0001,C0107,0.9965
C0001,C0174,0.9898
C0001,C0048,0.9881
C0002,C0186,0.9495
C0002,C0142,0.9382
C0002,C0005,0.9379
C0003,C0091,0.974
C0003,C0120,0.9154
C0003,C0129,0.9128
C0004,C0113,0.9822
C0004,C0104,0.9609
C0004,C0099,0.9562
C0005,C0186,0.997
C0005,C0140,0.9637
C0005,C0123,0.9619
C0006,C0168,0.9787
C0006,C0171,0.9462
C0006,C0163,0.9121
C0007,C0159,0.9862
C0007,C0115,0.9786
C0007,C0092,0.966
C0008,C0098,0.9337
C0008,C0139,0.933
C0008,C0194,0.9191
C0009,C0198,0.9662
C0009,C0119,0.9649
C0009,C0103,0.9366
C0010,C0197,0.9798
C0010,C0166,0.9718
C0010,C0111,0.9674
C0011,C0048,0.9786
C0011,C0107,0.9786
C0011,C0001,0.9723
C0012,C0153,0.9866
C0012,C0113,0.9696
C0012,C0102,0.9679
C0013,C0102,0.999
C0013,C0104,0.9881
C0013,C0099,0.9873
C0014,C0060,0.9995
C0014,C0063,0.9491
C0014,C0198,0.9482
C0015,C0033,0.9862
C0015,C0042,0.9652
C0015,C0131,0.9645
C0016,C0154,0.9738
C0016,C0183,0.9487
C0016,C0116,0.9422
C0017,C0124,0.9791
C0017,C0075,0.9456
C0017,C0051,0.9327
C0018,C0079,0.9161
C0018,C0117,0.9106
C0018,C0026,0.8896
C0019,C0172,0.9951
C0019,C0127,0.9724
C0019,C0069,0.9646
C0020,C0036,0.9411
C0020,C0050,0.8782
C0020,C0144,0.8708
